Name,Date,Type,Description,Location,Type_as_str
Independence Day,2024-08-15,['National holiday'],India's Independence Day is an annual gazetted holiday on August 15 to commemorate the day India became an independent nation.,All,['National holiday']
Parsi New Year,2024-08-15,['Optional holiday'],Parsi New Year is a restricted holiday in India,All,['Optional holiday']
Raksha Bandhan (Rakhi),2024-08-19,"['Hinduism', 'Optional holiday']",Raksha Bandhan is a Hindu festival that is celebrated on the full moon of the Hindu month of Shravana (Shravan Poornima). The day is also sometimes referred to as Brother and Sister Day because it honors the relationship between brother and sister.,All,"['Hinduism', 'Optional holiday']"
Janmashtami,2024-08-26,"['National holiday', 'Hinduism']","Krishna Janmashtami is a Hindu festival that celebrates the birth of Krishna, the eighth incarnation of the god Vishnu. It is celebrated on the eighth day of the Hindu month of Bhadrava (Bhadrapada), which is usually in August or September.",All,"['National holiday', 'Hinduism']"
Janmashtami (Smarta),2024-08-26,['Observance'],Janmashtami (Smarta) is a observance in India,All,['Observance']
Ganesh Chaturthi/Vinayaka Chaturthi,2024-09-07,"['Hinduism', 'Optional holiday']","Ganesh Chaturthi is the great Ganesha festival that celebrates the birthday of Lord Ganesha during the Hindu Month of Bhadra, which usually falls between mid-August and mid-September. It is also known as Vinayaka Chaturthi and can last up to 10 days.",All,"['Hinduism', 'Optional holiday']"
Onam,2024-09-15,"['Hinduism', 'Optional holiday']",Onam is a restricted holiday in India,All,"['Hinduism', 'Optional holiday']"
Milad un-Nabi/Id-e-Milad,2024-09-16,['National holiday'],Milad un-Nabi is a gazetted holiday in India and marks the Prophet Muhammad's birthday.,All,['National holiday']
September Equinox,2024-09-22,['Season'],September Equinox in India (New Delhi),All,['Season']
Mahatma Gandhi Jayanti,2024-10-02,['National holiday'],Mahatma Gandhi's birthday is an annual gazetted holiday in India on October 2.,All,['National holiday']
First Day of Sharad Navratri,2024-10-03,"['Observance', 'Hinduism']",First Day of Sharad Navratri is a observance and Hindu holiday in India,All,"['Observance', 'Hinduism']"
First Day of Durga Puja Festivities,2024-10-09,"['Observance', 'Hinduism']",First Day of Durga Puja Festivities is a observance and Hindu holiday in India,All,"['Observance', 'Hinduism']"
Maha Saptami,2024-10-10,['Optional holiday'],Maha Saptami is a restricted holiday in India,All,['Optional holiday']
Maha Navami,2024-10-11,['Optional holiday'],Maha Navami is a restricted holiday in India,All,['Optional holiday']
Maha Ashtami,2024-10-11,['Optional holiday'],Maha Ashtami is a restricted holiday in India,All,['Optional holiday']
Dussehra,2024-10-12,"['National holiday', 'Hinduism']","Dussehra, also known as Vijaya Dashami, is an Indian festival that celebrates good forces over evil forces. It spans for 10 days and is celebrated in varied traditions across India.",All,"['National holiday', 'Hinduism']"
Maharishi Valmiki Jayanti,2024-10-17,['Optional holiday'],Maharishi Valmiki Jayanti is a restricted holiday in India,All,['Optional holiday']
Karaka Chaturthi (Karva Chauth),2024-10-20,"['Hinduism', 'Optional holiday']","Karwa Chauth is an annual one-day festival that honors the Hindu god Shiva and goddess Parvati. It is celebrated by all married Hindu women on the fourth day after the full moon in the Hindu month of Kartik, which is usually in October.",All,"['Hinduism', 'Optional holiday']"
Halloween,2024-10-31,['Observance'],Halloween is a festive occasion that is celebrated in many countries on October 31 each year.,All,['Observance']
Naraka Chaturdasi,2024-10-31,['Optional holiday'],Naraka Chaturdasi is a restricted holiday in India,All,['Optional holiday']
Diwali/Deepavali,2024-10-31,"['National holiday', 'Hinduism']",Diwali is a festival of physical and spiritual light celebrated in October or November each year.,All,"['National holiday', 'Hinduism']"
Govardhan Puja,2024-11-02,['Optional holiday'],Govardhan Puja is a restricted holiday in India,All,['Optional holiday']
Bhai Duj,2024-11-03,"['Hinduism', 'Optional holiday']",Bhai Duj is a Hindu festival that celebrates the relationship between a brother and a sister on the second day after the new moon in the Hindu month of Kartika.,All,"['Hinduism', 'Optional holiday']"
Chhat Puja (Pratihar Sashthi/Surya Sashthi),2024-11-07,"['Hinduism', 'Optional holiday']",Chhat Puja (Pratihar Sashthi/Surya Sashthi) is a restricted holiday in India,All,"['Hinduism', 'Optional holiday']"
Guru Nanak Jayanti,2024-11-15,['National holiday'],Guru Nanak Jayanti is a gazetted holiday in India,All,['National holiday']
Guru Tegh Bahadur's Martyrdom Day,2024-11-24,['Optional holiday'],Guru Tegh Bahadur's Martyrdom Day is a restricted holiday in India,All,['Optional holiday']
December Solstice,2024-12-21,['Season'],December Solstice in India (New Delhi),All,['Season']
Christmas Eve,2024-12-24,['Optional holiday'],Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.,All,['Optional holiday']
Christmas,2024-12-25,['National holiday'],"Many Christians celebrate Christmas Day, which is a gazetted holiday in India, on December 25 each year.",All,['National holiday']
First Day of Hanukkah,2024-12-26,['Observance'],"Hanukkah, also known as Chanukah or the Festival of Lights, is celebrated for 8 days between the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.",All,['Observance']
New Year's Eve,2024-12-31,['Observance'],"New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar.",All,['Observance']
